key,dataset,seed,backbone,regime,family,delta,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,heldout
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,cc_joint,0.01,10.0,10.0,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8281744279562923,0.6657793491389996,0.828174427956292,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,ridge_matched,0.01,0.9900990099009901,0.0,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8226588096640643,0.5425969236903506,0.8226588096640646,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,sample_joint,0.01,10.0,10.0,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8283703973062099,0.6707018010739448,0.8283703973062099,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,uncentered_joint,0.01,1.0,0.0,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8226547757425928,0.5428082534817139,0.8226547757425928,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,cc_joint,0.02,10.0,10.0,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8281744279562923,0.6657793491389996,0.828174427956292,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,ridge_matched,0.02,0.9900990099009901,0.0,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8226588096640643,0.5425969236903506,0.8226588096640646,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,sample_joint,0.02,10.0,10.0,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8283703973062099,0.6707018010739448,0.8283703973062099,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,uncentered_joint,0.02,1.0,0.0,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8226547757425928,0.5428082534817139,0.8226547757425928,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,cc_joint,0.05,10.0,10.0,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8281744279562923,0.6657793491389996,0.828174427956292,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,ridge_matched,0.05,0.9900990099009901,0.0,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8226588096640643,0.5425969236903506,0.8226588096640646,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,sample_joint,0.05,10.0,10.0,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8283703973062099,0.6707018010739448,0.8283703973062099,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,uncentered_joint,0.05,1.0,0.0,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8226547757425928,0.5428082534817139,0.8226547757425928,midjourney
agiqa3k__rn50__split42__logo_sd1_5,AGIQA-3K,42,RN50,logo,cc_joint,0.0,100.0,100.0,0.5040666074989841,0.5040666074989841,0.5040666074989841,0.5040666074989841,0.5040666074989841,0.701032134626808,0.5464117230931657,0.7010321346268078,sd1.5
